Surname;Name;Influence
Advincula;Jose Fuerte;1
Aguiar Alves;Américo Manuel;1
Aguiar Retes;Carlos;1
Ambongo Besungu;Fridolin;3
Arborelius;Anders;1
Aveline;Jean-Marc;3
Aviz;João Braz de;1
Baggio;Fabio;1
Barbarin;Philippe;1
Baselios;Cleemis;1
Battaglia;Domenico;1
Betori;Giuseppe;1
Bessi Dogbo;Ignace;1
Bo;Charles Maung;1
Bokalic Iglic;Vicente;1
Bozanić;Josip;1
Brenes Solórzano;Leopoldo José;1
Brislin;Stephen;1
Burke;Raymond Leo;3
Bustillo;François-Xavier;1
Bychok;Mykola;1
Cabrera Herrera;Luis Gerardo;1
Cañizares Llovera;Antonio *;1
Cantoni;Oscar;1
Castillo Mattasoglio;Carlos Gustavo;1
Chomalí Garib;Fernando Natalio;1
Chow Sau-yan;Stephen;1
Clemente;Manuel;1
Cobo Cano;José;1
Collins;Thomas Christopher;1
Costa;Paulo Cezar;1
Coutts;Joseph;1
Cupich;Blase J.;1
Czerny;Michael;1
David;Pablo Virgilio Siongco;1
De Donatis;Angelo;1
De Kesel;Jozef;1
Dew;John Atcherley;1
DiNardo;Daniel Nicholas;1
Do Carmo da Silva;Virgilio;1
Dolan;Timothy Michael;1
Eijk;Willem Jacobus;2
Erdő;Péter;4
Farrell;Kevin Joseph;1
Fernández;Víctor Manuel;1
Fernández Artime;Ángel;1
Ferrão;Filipe Neri António Sebastião do Rosário;1
Filoni;Fernando;1
Francis;Sebastian;1
Furtado;Arlindo Gomes;1
Gambetti;Mauro;1
García Rodríguez;Juan de la Caridad;1
Goh;William Seng Chye;1
Grech;Mario;3
Gregory;Wilton Daniel;1
Gugerotti;Claudio;1
Harvey;James Michael;1
Hollerich;Jean-Claude;1
Kambanda;Antoine;1
Kikuchi;Tarcisio Isao;1
Koch;Kurt;1
Koovakad;George Jacob;1
Kovithavanij;Francis Xavier Kriengsak;1
Krajewski;Konrad;1
Kutwa;Jean-Pierre;1
Lacroix;Gérald Cyprien;1
Langlois;Chibly;1
Leo;Frank;1
Lojudice;Augusto Paolo;1
López Romero;Cristóbal;3
Maeda;Thomas Aquino Manyo;1
Mafi;Soane Patita Paini;1
Makrickas;Rolandas;1
Mamberti;Dominique;1
Marengo;Giorgio;1
Martínez Flores;Adalberto;1
Marto;António Augusto dos Santos;1
Marx;Reinhard;2
Mathieu;Dominique Joseph;1
McElroy;Robert Walter;1
Mendonça;José Tolentino de;2
Montenegro;Francesco;1
Mulla;Stephen Ameyu Martin;1
Müller;Gerhard Ludwig;2
Nemet;Ladislav;1
Nichols;Gerard Vincent;1
Njue;John*;1
Nycz;Kazimierz;1
Nzapalainga;Dieudonné;1
Okpaleke;Peter Ebere;1
Omella Omella;Juan José;1
Osoro Sierra;Carlos;1
Ouédraogo;Nakellentuba Philippe;1
Parolin;Pietro;4
Patabendige Don;Albert Malcolm Ranjith;1
Petrocchi;Giuseppe;1
Pierre;Christophe Louis Yves Georges;1
Pizzaballa;Pierbattista;3
Poli;Mario Aurelio;1
Poola;Anthony;1
Prevost;Robert Francis;3
Puljić;Vinko;1
Radcliffe;Timothy Peter Joseph;1
Ramazzini Imeri;Álvaro Leonel;1
Reina;Baldassare;1
Repole;Roberto;1
Ribat;John;1
Robles Ortega;Francisco;1
Rocha;Sérgio da;1
Roche;Arthur;1
Rossi;Ángel Sixto;1
Rueda Aparicio;Luis José;1
Rugambwa;Protase;1
Ryłko;Stanisław;1
Ryś;Grzegorz;1
Sako;Louis Raphaël;1
Sarah;Robert;3
Scherer;Odilo Pedro;1
Semeraro;Marcello;1
Souraphiel;Berhaneyesus Demerew;1
Spengler;Jaime;1
Steiner;Leonardo Ulrich;1
Sturla Berhouet;Daniel Fernando;1
Suharyo Hardjoatmodjo;Ignatius;1
Tagle;Luis Antonio Gokim;4
Tempesta;Orani João;1
Tobin;Joseph William;1
Tsarahazana;Désiré;1
Tscherrig;Emil Paul;1
Turkson;Peter Kodwo Appiah;3
Vesco;Jean-Paul;1
Woelki;Rainer Maria;1
You Heung-sik;Lazarus;1
Zenari;Mario;1
Zuppi;Matteo Maria;10
